年度,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,タイム(秒),着差,通過,上り3F,単勝,人気,馬体重
2022,8,8,14,ユーバーレーベン,牝4,56,Ｍ．デム,1:58.3,118.3,クビ,14-13-11,33.3,43.8,10,476(-22)
2022,9,4,6,ジオグリフ,牡3,56,福永祐一,1:58.3,118.3,クビ,6-7-7,33.6,9.1,5,506(+14)
2022,10,7,13,アブレイズ,牝5,56,マーカン,1:58.3,118.3,クビ,8-7-5,33.7,179.0,13,494(-4)
2022,11,6,10,ノースブリッジ,牡4,58,岩田康誠,1:58.4,118.4,アタマ,2-3-3,34.0,59.9,11,492(-2)
2022,12,8,15,カデナ,牡8,58,三浦皇成,1:58.4,118.4,クビ,15-15-14,33.2,286.9,15,478(0)
2022,13,3,4,ポタジェ,牡5,58,吉田隼人,1:58.4,118.4,クビ,12-11-11,33.4,34.6,8,468(+2)
2022,14,6,11,レッドガラン,牡7,58,横山和生,1:58.7,118.7,1.1/2,13-13-14,33.4,279.7,14,520(+6)
2022,15,7,12,バビット,牡5,58,横山典弘,1:58.7,118.7,アタマ,2-2-2,34.6,173.4,12,462(-12)
2023,1,6,7,イクイノックス,牡4,58,ルメール,1:55.2,115.2,,3-3-3,34.2,1.3,1,494(+2)
2023,2,6,6,ジャスティンパレス,牡4,58,横山武史,1:55.6,115.6,2.1/2,10-10-10,33.7,35.1,6,468(-2)
2023,3,7,9,プログノーシス,牡5,58,川田将雅,1:55.8,115.8,1.1/4,11-11-10,33.9,11.4,3,474(-2)
2023,4,4,4,ダノンベルーガ,牡4,58,モレイラ,1:55.8,115.8,アタマ,8-7-7,34.3,14.0,4,500(-8)
2023,5,5,5,ガイアフォース,牡4,58,西村淳也,1:56.2,116.2,2.1/2,2-2-2,35.5,45.4,7,496(+6)
2023,6,8,11,アドマイヤハダル,牡5,58,菅原明良,1:56.5,116.5,1.1/2,7-7-7,35.0,160.0,9,484(-4)
2023,7,3,3,ドウデュース,牡4,58,戸崎圭太,1:56.6,116.6,1/2,4-4-4,35.3,4.3,2,512(+4)
2023,8,2,2,エヒト,牡6,58,横山和生,1:57.4,117.4,5,8-7-9,35.7,281.7,11,462(-4)
2023,9,7,8,ヒシイグアス,牡7,58,松山弘平,1:57.6,117.6,1.1/2,4-4-4,36.3,141.9,8,490(-12)
2023,10,1,1,ノースブリッジ,牡5,58,岩田康誠,1:58.0,118.0,2.1/2,4-4-4,36.7,167.9,10,492(-8)
2023,11,8,10,ジャックドール,牡5,58,藤岡佑介,1:58.4,118.4,2.1/2,1-1-1,37.9,15.2,5,506(-10)
2024,1,4,7,ドウデュース,牡5,58,武豊,1:57.3,117.3,,14-14-13,32.5,3.8,2,504(-4)
2024,2,3,4,タスティエーラ,牡4,58,松山弘平,1:57.5,117.5,1.1/4,3-3-5,33.4,53.8,9,506(+18)
2024,3,5,9,ホウオウビスケッツ,牡4,58,岩田望来,1:57.6,117.6,1/2,1-1-1,34.0,48.1,8,502(0)
2024,4,6,11,ジャスティンパレス,牡5,58,坂井瑠星,1:57.6,117.6,クビ,12-11-11,33.0,15.0,6,470(-2)
2024,5,2,2,マテンロウスカイ,セ5,58,横山典弘,1:57.6,117.6,クビ,5-6-5,33.4,121.4,12,476(+2)
2024,6,1,1,ベラジオオペラ,牡4,58,横山和生,1:57.7,117.7,1/2,3-3-3,33.7,13.3,4,514(-4)
2024,7,4,6,ソールオリエンス,牡4,58,横山武史,1:57.7,117.7,ハナ,8-8-8,33.3,15.4,7,468(+8)
2024,8,8,14,レーベンスティール,牡4,58,ルメール,1:57.8,117.8,1/2,8-11-11,33.2,4.7,3,480(-4)
2024,9,2,3,ステラヴェローチェ,牡6,58,佐々木大,1:58.0,118.0,1.1/4,8-8-8,33.5,150.3,13,504(-4)
2024,10,8,15,ニシノレヴナント,セ4,58,田辺裕信,1:58.0,118.0,アタマ,15-15-15,33.0,415.8,15,490(0)
2024,11,3,5,ノースブリッジ,牡6,58,岩田康誠,1:58.0,118.0,クビ,12-13-13,33.3,68.7,10,500(-2)
2024,12,5,8,キングズパレス,牡5,58,シュタル,1:58.0,118.0,ハナ,8-8-8,33.6,97.0,11,500(+6)
2024,13,7,12,リバティアイランド,牝4,56,川田将雅,1:58.1,118.1,1/2,7-3-3,34.1,2.3,1,492(0)
2024,14,6,10,ダノンベルーガ,牡5,58,Ｃ．デム,1:58.3,118.3,1.1/4,5-6-5,34.1,14.3,5,498(0)
2024,15,7,13,シルトホルン,牡4,58,大野拓弥,1:58.4,118.4,1/2,2-2-2,34.6,412.0,14,468(+4)
2025,1,5,7,マスカレードボール,牡3,56,ルメール,1:58.6,118.6,,9-6-8,32.3,2.7,1,470(+4)
2025,2,6,9,ミュージアムマイル,牡3,56,Ｃ．デム,1:58.7,118.7,3/4,9-9-9,32.3,7.4,3,500(0)
2025,3,3,3,ジャスティンパレス,牡6,58,団野大成,1:58.8,118.8,クビ,4-6-6,32.6,20.4,8,470(0)
2025,4,7,11,シランケド,牝5,56,横山武史,1:58.8,118.8,クビ,14-14-14,31.7,10.7,6,516(+2)
2025,5,2,2,アーバンシック,牡4,58,プーシャ,1:58.8,118.8,クビ,12-11-11,32.2,28.2,11,514(+2)
2025,6,8,13,メイショウタバル,牡4,58,武豊,1:58.8,118.8,ハナ,1-1-1,33.1,8.6,5,508(+4)
2025,7,7,12,セイウンハーデス,牡6,58,菅原明良,1:59.0,119.0,3/4,9-12-11,32.4,27.7,10,472(-10)
2025,8,4,5,タスティエーラ,牡5,58,レーン,1:59.0,119.0,アタマ,4-5-5,33.0,6.6,2,508(+10)
2025,9,8,14,クイーンズウォーク,牝4,56,川田将雅,1:59.0,119.0,ハナ,7-6-6,32.8,25.1,9,542(+6)
2025,10,4,6,ブレイディヴェーグ,牝5,56,戸崎圭太,1:59.1,119.1,3/4,13-13-13,32.3,7.7,4,474(-2)
2025,11,6,10,エコロヴァルツ,牡4,58,三浦皇成,1:59.2,119.2,クビ,4-3-3,33.3,89.4,13,494(+8)
2025,12,1,1,コスモキュランダ,牡4,58,津村明秀,1:59.2,119.2,アタマ,2-3-3,33.3,117.0,14,520(+18)
2025,13,5,8,ホウオウビスケッツ,牡5,58,岩田康誠,1:59.2,119.2,アタマ,2-2-2,33.5,14.6,7,504(-4)
2025,14,3,4,ソールオリエンス,牡5,58,丹内祐次,1:59.3,119.3,3/4,7-9-9,32.9,50.3,12,478(+10)
